epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.576151,0.41272,2.8053,0.96466,0.03228,0.66667,0.66333,0.63017,0.72425,3.41558,1.27326,0,0,0
2,1.01233,0.47746,2.78974,1.0326,0.03234,0.66667,0.66333,0.63017,0.72563,3.41576,1.27621,5.82179e-06,5.82179e-06,5.82179e-06
3,1.55171,0.27551,2.63998,0.93903,0.03021,0.66667,0.66333,0.63017,0.81364,3.41349,1.33035,1.15272e-05,1.15272e-05,1.15272e-05
4,2.03442,0.55,2.92535,1.15033,0.03009,0.66667,0.66333,0.63017,0.82232,3.41061,1.33426,1.71161e-05,1.71161e-05,1.71161e-05
5,2.56305,0.26832,2.5546,0.95405,0.02574,0.66667,0.66333,0.597,0.81783,3.41113,1.32325,2.25886e-05,2.25886e-05,2.25886e-05
6,3.08563,0.31447,2.68367,1.03049,0.02621,0.66667,0.66333,0.597,0.90144,3.40935,1.39062,2.79447e-05,2.79447e-05,2.79447e-05
7,3.56996,0.35432,2.65929,0.97656,0.02588,0.66667,0.66333,0.597,0.87233,3.40906,1.36893,3.31844e-05,3.31844e-05,3.31844e-05
8,4.02478,0.42618,2.92593,1.05583,0.02927,0.66667,0.66333,0.597,0.98088,3.41017,1.42857,3.83076e-05,3.83076e-05,3.83076e-05
9,4.5742,0.24959,2.56728,0.96296,0.02581,0.66667,0.66333,0.56383,1.02307,3.4003,1.45853,4.33144e-05,4.33144e-05,4.33144e-05
10,5.09219,0.45662,2.7136,1.01603,0.02252,0.66667,0.66333,0.56383,1.09825,3.39444,1.49041,4.82048e-05,4.82048e-05,4.82048e-05
11,5.59088,0.30581,2.60856,0.93949,0.0208,0.66667,0.66333,0.56383,1.15443,3.39046,1.52191,5.29788e-05,5.29788e-05,5.29788e-05
12,6.18944,0.41069,2.8236,0.99772,0.01809,0.66667,0.66333,0.53067,1.10509,3.38332,1.48194,5.76363e-05,5.76363e-05,5.76363e-05
13,6.68779,0.37831,2.97368,1.01438,0.01508,0.66667,0.66333,0.5367,1.19089,3.38221,1.5625,6.21775e-05,6.21775e-05,6.21775e-05
14,7.19049,0.39495,2.74788,0.99175,0.01378,0.66667,0.66333,0.53435,1.18148,3.38161,1.59206,6.66022e-05,6.66022e-05,6.66022e-05
15,7.69386,0.41067,2.60608,1.03483,0.01462,0.66667,0.66333,0.50856,1.21277,3.38102,1.63253,7.09104e-05,7.09104e-05,7.09104e-05
16,8.20675,0.41895,2.76225,1.03992,0.01408,0.66667,0.66333,0.50303,1.1857,3.36804,1.59539,7.51023e-05,7.51023e-05,7.51023e-05
17,8.71118,0.47029,2.76012,1.12793,0.01429,0.66667,0.66333,0.4975,1.13476,3.36655,1.57048,7.91777e-05,7.91777e-05,7.91777e-05
18,9.17683,0.54616,2.52221,1.05232,0.01429,0.66667,0.66333,0.4975,1.13476,3.36655,1.57048,8.31367e-05,8.31367e-05,8.31367e-05
19,9.7129,0.58225,2.63075,1.03768,0.01353,0.66667,0.66333,0.4975,1.12932,3.36372,1.58687,8.69793e-05,8.69793e-05,8.69793e-05
20,10.2441,0.40383,2.66515,1.02475,0.01353,0.66667,0.66333,0.4975,1.12932,3.36372,1.58687,9.07055e-05,9.07055e-05,9.07055e-05
21,10.7799,0.60826,2.73866,1.09608,0.01326,0.66667,0.4975,0.38349,1.19759,3.35672,1.62832,9.43152e-05,9.43152e-05,9.43152e-05
22,11.3802,0.48109,2.68288,1.08264,0.01326,0.66667,0.4975,0.38349,1.19759,3.35672,1.62832,9.78085e-05,9.78085e-05,9.78085e-05
23,11.9115,0.43688,2.52331,0.97029,0.01321,0.66667,0.4975,0.38584,1.21169,3.35308,1.6705,0.000101185,0.000101185,0.000101185
24,12.4288,0.50973,2.77412,1.13993,0.01321,0.66667,0.4975,0.38584,1.21169,3.35308,1.6705,0.000104446,0.000104446,0.000104446
25,12.9375,0.43128,2.46833,1.04869,0.01309,0.66667,0.4975,0.38584,1.1809,3.3476,1.69803,0.00010759,0.00010759,0.00010759
26,13.4134,0.49564,2.67066,1.07107,0.01309,0.66667,0.4975,0.38584,1.1809,3.3476,1.69803,0.000110617,0.000110617,0.000110617
27,13.9067,0.44161,2.45191,0.99476,0.01404,0.66667,0.66333,0.53067,1.30037,3.33612,1.75359,0.000113529,0.000113529,0.000113529
28,14.3935,0.46399,2.47612,1.04185,0.01404,0.66667,0.66333,0.53067,1.30037,3.33612,1.75359,0.000116323,0.000116323,0.000116323
29,15.3536,0.43343,2.30164,0.95699,0.01209,0.66667,0.66333,0.56383,1.34718,3.32507,1.78266,0.000119002,0.000119002,0.000119002
30,16.3159,0.37712,2.41557,1.00611,0.01209,0.66667,0.66333,0.56383,1.34718,3.32507,1.78266,0.000121564,0.000121564,0.000121564
31,17.2783,0.64092,2.67065,1.18779,0.0113,0.66667,0.66333,0.63017,1.29258,3.32424,1.74563,0.000124009,0.000124009,0.000124009
32,18.4252,0.47445,2.46333,1.06312,0.0113,0.66667,0.66333,0.63017,1.29258,3.32424,1.74563,0.000126338,0.000126338,0.000126338
33,19.4082,0.49712,2.43264,1.0795,0.01116,0.66667,0.66333,0.53067,1.27166,3.32207,1.73934,0.000128551,0.000128551,0.000128551
34,20.3583,0.44014,2.45619,1.04379,0.01116,0.66667,0.66333,0.53067,1.27166,3.32207,1.73934,0.000130647,0.000130647,0.000130647
35,21.2444,0.49982,2.30009,1.09565,0.02302,1,0.71071,0.52435,1.1634,3.30964,1.6793,0.000132627,0.000132627,0.000132627
36,22.2285,0.52707,2.54391,1.09334,0.02302,1,0.71071,0.52435,1.1634,3.30964,1.6793,0.00013449,0.00013449,0.00013449
37,23.2206,0.5183,2.25724,1.03888,0.02378,1,0.71071,0.57331,1.20293,3.32344,1.75219,0.000136237,0.000136237,0.000136237
38,24.071,0.46932,2.1962,1.04077,0.02378,1,0.71071,0.57331,1.20293,3.32344,1.75219,0.000137868,0.000137868,0.000137868
39,25.0945,0.56511,2.4068,1.12887,0.02238,1,0.71071,0.5354,1.15617,3.33746,1.72362,0.000139382,0.000139382,0.000139382
40,25.9925,0.4813,2.14257,1.03786,0.02238,1,0.71071,0.5354,1.15617,3.33746,1.72362,0.00014078,0.00014078,0.00014078
41,26.4819,0.48255,2.45133,1.14421,0.01008,0.66667,0.66333,0.53067,1.06238,3.3445,1.66026,0.000142061,0.000142061,0.000142061
42,27.009,0.47129,2.23624,1.01187,0.01008,0.66667,0.66333,0.53067,1.06238,3.3445,1.66026,0.000143226,0.000143226,0.000143226
43,27.4638,0.34522,2.24916,0.99997,0.00965,0.66667,0.66333,0.53067,1.00892,3.35672,1.61731,0.000144274,0.000144274,0.000144274
44,27.9097,0.45793,2.1467,1.04263,0.00965,0.66667,0.66333,0.53067,1.00892,3.35672,1.61731,0.000145206,0.000145206,0.000145206
45,28.3692,0.5193,2.25019,1.08018,0.00949,0.66667,0.66333,0.50856,1.01401,3.3606,1.62521,0.000146022,0.000146022,0.000146022
46,28.8001,0.55613,2.25447,1.11203,0.00949,0.66667,0.66333,0.50856,1.01401,3.3606,1.62521,0.000146721,0.000146721,0.000146721
47,29.2594,0.44914,2.18602,1.00451,0.00983,0.66667,0.66333,0.50856,0.98788,3.35636,1.59018,0.000147303,0.000147303,0.000147303
48,29.6891,0.70089,2.30049,1.24043,0.00983,0.66667,0.66333,0.50856,0.98788,3.35636,1.59018,0.00014777,0.00014777,0.00014777
49,30.1581,0.32571,2.04079,0.98638,0.00992,0.66667,0.66333,0.50856,1.08238,3.35366,1.71509,0.00014812,0.00014812,0.00014812
50,30.6186,0.42395,2.01591,1.01972,0.00992,0.66667,0.66333,0.50856,1.08238,3.35366,1.71509,0.000148353,0.000148353,0.000148353
51,31.2103,0.39971,2.01485,0.96914,0.0103,0.66667,0.66333,0.50856,1.111,3.35776,1.7562,0.00014847,0.00014847,0.00014847
52,31.6554,0.49386,1.99326,1.08382,0.0103,0.66667,0.66333,0.50856,1.111,3.35776,1.7562,0.000148471,0.000148471,0.000148471
53,32.1269,0.57829,1.92077,1.13913,0.0103,0.66667,0.66333,0.50856,1.111,3.35776,1.7562,0.000148355,0.000148355,0.000148355
54,32.615,0.42659,1.94444,1.0521,0.01025,0.66667,0.66333,0.50856,1.2407,3.356,1.88235,0.000148122,0.000148122,0.000148122
55,33.1157,0.58064,2.20706,1.21651,0.01025,0.66667,0.66333,0.50856,1.2407,3.356,1.88235,0.000147774,0.000147774,0.000147774
56,33.6073,0.61753,2.24532,1.22201,0.01025,0.66667,0.66333,0.50856,1.2407,3.356,1.88235,0.000147309,0.000147309,0.000147309
57,34.1127,0.47443,2.22507,1.1167,0.01002,0.66667,0.4975,0.41458,1.25256,3.35447,1.95954,0.000146727,0.000146727,0.000146727
58,34.5599,0.46331,2.07074,1.0227,0.01002,0.66667,0.4975,0.41458,1.25256,3.35447,1.95954,0.000146029,0.000146029,0.000146029
59,34.9972,0.47564,2.1234,1.05662,0.01002,0.66667,0.4975,0.41458,1.25256,3.35447,1.95954,0.000145215,0.000145215,0.000145215
60,35.4622,0.65438,2.11559,1.1205,0.01058,0.66667,0.22111,0.16583,1.24913,3.36957,1.95753,0.000144284,0.000144284,0.000144284
61,35.997,0.47095,2.06917,1.03015,0.01058,0.66667,0.22111,0.16583,1.24913,3.36957,1.95753,0.000143237,0.000143237,0.000143237
62,36.4448,0.68065,1.86835,1.34038,0.01058,0.66667,0.22111,0.16583,1.24913,3.36957,1.95753,0.000142073,0.000142073,0.000142073
63,36.9142,0.54711,1.91704,1.08238,0.01121,0.66667,0.24875,0.20176,1.3698,3.38962,2.01576,0.000140793,0.000140793,0.000140793
64,37.3706,0.52494,2.23746,1.08077,0.01121,0.66667,0.24875,0.20176,1.3698,3.38962,2.01576,0.000139397,0.000139397,0.000139397
65,37.8084,0.42084,1.75966,1.01874,0.01121,0.66667,0.24875,0.20176,1.3698,3.38962,2.01576,0.000137884,0.000137884,0.000137884
66,38.2965,0.66443,1.90556,1.22543,0.01182,0.66667,0.23217,0.18684,1.47005,3.40205,2.07608,0.000136254,0.000136254,0.000136254
67,38.7725,0.43689,1.88825,1.03078,0.01182,0.66667,0.23217,0.18684,1.47005,3.40205,2.07608,0.000134509,0.000134509,0.000134509
68,39.2222,0.62246,1.99363,1.27801,0.01182,0.66667,0.23217,0.18684,1.47005,3.40205,2.07608,0.000132646,0.000132646,0.000132646
69,39.6992,0.32737,1.73185,0.94302,0.01233,0.66667,0.23217,0.18684,1.42953,3.40641,2.02059,0.000130668,0.000130668,0.000130668
70,40.1559,0.47531,1.78518,1.05208,0.01233,0.66667,0.23217,0.18684,1.42953,3.40641,2.02059,0.000128573,0.000128573,0.000128573
71,40.6145,0.51223,1.80505,1.04476,0.01233,0.66667,0.23217,0.18684,1.42953,3.40641,2.02059,0.000126361,0.000126361,0.000126361
72,41.1621,0.47553,1.94007,1.04779,0.0131,0.66667,0.19598,0.15428,1.40825,3.41048,1.98034,0.000124033,0.000124033,0.000124033
73,41.6013,0.44302,1.98178,1.031,0.0131,0.66667,0.19598,0.15428,1.40825,3.41048,1.98034,0.000121589,0.000121589,0.000121589
74,42.0756,0.43067,1.80299,0.99298,0.0131,0.66667,0.19598,0.15428,1.40825,3.41048,1.98034,0.000119028,0.000119028,0.000119028
75,42.5298,0.44392,1.69444,1.01131,0.0125,0.66667,0.199,0.12935,1.35852,3.39948,1.94543,0.000116351,0.000116351,0.000116351
76,42.9567,0.54544,2.09232,1.24049,0.0125,0.66667,0.199,0.12935,1.35852,3.39948,1.94543,0.000113557,0.000113557,0.000113557
77,43.3931,0.41098,1.95808,1.0584,0.0125,0.66667,0.199,0.12935,1.35852,3.39948,1.94543,0.000110647,0.000110647,0.000110647
78,43.835,0.65422,2.07628,1.19627,0.0125,0.66667,0.23217,0.1592,1.37038,3.37984,1.93359,0.000107621,0.000107621,0.000107621
