epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8701,1.69787,2.74333,1.41797,0.00507,0.55422,0.41633,0.3013,1.44106,3.1228,1.2782,0.000464992,0.000464992,0.000464992
2,58.6467,1.20799,1.33522,1.09698,0.88492,0.2963,0.78884,0.45075,1.47343,2.1819,1.29442,0.000754943,0.000754943,0.000754943
3,89.734,1.08816,1.10997,1.05081,0.84104,0.82199,0.88243,0.51369,1.34134,1.45037,1.19276,0.000856266,0.000856266,0.000856266
4,123.29,1.00982,0.97423,1.01227,0.92504,0.8726,0.94464,0.63603,1.10301,0.98975,1.06463,0.000580174,0.000580174,0.000580174
5,158.72,0.924,0.89369,0.98153,0.97176,0.91882,0.96759,0.60649,1.20987,0.82015,1.08715,0.000297232,0.000297232,0.000297232
