epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02285,0.75216,4.63268,1.11316,0,0,0,0,0.32119,4.09523,1.08721,2.04e-06,2.04e-06,2.04e-06
2,1.9031,0.75606,4.46062,1.1096,0,0,0,0,0.3159,4.09512,1.09332,5.99882e-06,5.99882e-06,5.99882e-06
3,2.78862,0.808,4.51519,1.15507,0,0,0,0,0.31266,4.09671,1.1147,9.79608e-06,9.79608e-06,9.79608e-06
4,3.77092,0.87437,4.58302,1.15893,0,0,0,0,0.30971,4.09659,1.11387,1.34318e-05,1.34318e-05,1.34318e-05
5,4.67186,0.73213,4.48727,1.12208,0,0,0,0,0.31307,4.09798,1.1174,1.69059e-05,1.69059e-05,1.69059e-05
6,5.5311,0.75275,4.54871,1.10148,0,0,0,0,0.32521,4.0973,1.13171,2.02184e-05,2.02184e-05,2.02184e-05
7,6.36846,0.82671,4.46165,1.16586,0,0,0,0,0.34776,4.09739,1.15689,2.33694e-05,2.33694e-05,2.33694e-05
8,7.22398,0.87999,4.49312,1.20127,0,0,0,0,0.35019,4.09786,1.16767,2.63588e-05,2.63588e-05,2.63588e-05
9,8.06845,0.77524,4.47573,1.07879,0,0,0,0,0.35364,4.09785,1.17987,2.91867e-05,2.91867e-05,2.91867e-05
10,8.9382,0.79786,4.48534,1.1375,0,0,0,0,0.35606,4.09761,1.18873,3.1853e-05,3.1853e-05,3.1853e-05
