epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.1305,0.68179,4.51536,1.07711,0,0,0,0,0.34478,4.09454,1.16177,2.04e-06,2.04e-06,2.04e-06
2,1.99048,0.72062,4.35221,1.09195,0,0,0,0,0.33814,4.09589,1.16891,5.99882e-06,5.99882e-06,5.99882e-06
3,2.98709,0.7679,4.41108,1.12933,0,0,0,0,0.33747,4.09296,1.18179,9.79608e-06,9.79608e-06,9.79608e-06
4,3.94601,0.8541,4.45784,1.13947,0,0,0,0,0.33975,4.09139,1.16472,1.34318e-05,1.34318e-05,1.34318e-05
5,4.83804,0.67806,4.37534,1.09281,0,0,0,0,0.34698,4.08739,1.16455,1.69059e-05,1.69059e-05,1.69059e-05
6,5.71967,0.72278,4.4407,1.08201,0,0,0,0,0.35733,4.08636,1.1773,2.02184e-05,2.02184e-05,2.02184e-05
7,6.59853,0.77279,4.35832,1.13111,0,0,0,0,0.37308,4.08793,1.19842,2.33694e-05,2.33694e-05,2.33694e-05
8,7.48718,0.85011,4.39297,1.16524,0,0,0,0,0.37416,4.08916,1.22608,2.63588e-05,2.63588e-05,2.63588e-05
9,8.38081,0.73216,4.3633,1.05002,0,0,0,0,0.38358,4.08951,1.2057,2.91867e-05,2.91867e-05,2.91867e-05
10,9.27606,0.74874,4.36247,1.10163,0,0,0,0,0.40077,4.0801,1.25849,3.1853e-05,3.1853e-05,3.1853e-05
11,10.1366,0.74117,4.35228,1.07366,0,0,0,0,0.40751,4.08443,1.26747,3.43577e-05,3.43577e-05,3.43577e-05
12,11.0415,0.66493,4.33875,1.05137,0,0,0,0,0.42511,4.0816,1.25246,3.67008e-05,3.67008e-05,3.67008e-05
13,11.8972,0.69276,4.25904,1.10065,0,0,0,0,0.43758,4.07548,1.29755,3.88824e-05,3.88824e-05,3.88824e-05
14,12.7416,0.7098,4.35104,1.05729,0,0,0,0,0.43691,4.07692,1.30614,4.09024e-05,4.09024e-05,4.09024e-05
15,13.5811,0.66434,4.27062,1.04833,0,0,0,0,0.4333,4.07357,1.28525,4.27608e-05,4.27608e-05,4.27608e-05
16,14.4203,0.64949,4.29077,1.00442,0,0,0,0,0.41118,4.07019,1.30161,4.44577e-05,4.44577e-05,4.44577e-05
17,15.2424,0.69,4.23086,1.05406,0,0,0,0,0.41395,4.07102,1.31705,4.5993e-05,4.5993e-05,4.5993e-05
18,16.1938,0.86054,4.33114,1.13169,0,0,0,0,0.45431,4.06818,1.30539,4.73668e-05,4.73668e-05,4.73668e-05
19,18.1959,0.6923,4.21988,1.02838,0,0,0,0,0.47519,4.06807,1.33294,4.85789e-05,4.85789e-05,4.85789e-05
20,20.4562,0.69227,4.2368,1.05149,0,0,0,0,0.51025,4.07132,1.39423,4.96295e-05,4.96295e-05,4.96295e-05
21,22.5705,0.64984,4.18831,1.03432,0,0,0,0,0.53568,4.07059,1.35732,5.05186e-05,5.05186e-05,5.05186e-05
22,24.5604,0.79491,4.26379,1.09248,0,0,0,0,0.56798,4.07281,1.35351,5.1246e-05,5.1246e-05,5.1246e-05
23,26.5001,0.66247,4.15911,1.01604,0,0,0,0,0.58494,4.07215,1.39133,5.18119e-05,5.18119e-05,5.18119e-05
24,28.5122,0.72235,4.2031,1.08021,0,0,0,0,0.60672,4.07574,1.49586,5.22162e-05,5.22162e-05,5.22162e-05
