epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22907,0.96514,2.2288,1.14178,0.30342,1,0.995,0.96183,0.395,2.16625,1.14384,2.04e-05,2.04e-05,2.04e-05
2,7.85553,0.94809,2.07986,1.09178,0.3254,1,0.995,0.96183,0.41917,2.17227,1.17891,4.19918e-05,4.19918e-05,4.19918e-05
3,11.283,1.00187,2.11499,1.10897,0.34444,1,0.995,0.8955,0.49455,2.21191,1.2681,6.26949e-05,6.26949e-05,6.26949e-05
4,14.64,0.9461,2.11933,1.11592,0.38889,1,0.995,0.86233,0.41753,2.06357,1.16922,8.25094e-05,8.25094e-05,8.25094e-05
5,18.0987,0.9351,1.97873,1.08917,0.44444,1,0.995,0.92867,0.43435,2.01508,1.14973,0.000101435,0.000101435,0.000101435
6,22.7615,0.99698,1.98541,1.12733,0.44444,1,0.995,0.8955,0.53999,1.99261,1.19312,0.000119473,0.000119473,0.000119473
7,28.6577,0.93948,1.88787,1.10131,0.38889,1,0.995,0.92867,0.48417,1.92796,1.13815,0.000136621,0.000136621,0.000136621
8,33.1169,0.9677,1.82542,1.11106,0.74949,0.66667,0.995,0.92867,0.41484,1.77168,1.11493,0.000152881,0.000152881,0.000152881
9,36.4099,0.9848,1.79376,1.1096,0.81964,0.66667,0.82917,0.796,0.40164,1.61101,1.11223,0.000168253,0.000168253,0.000168253
10,39.8442,0.97534,1.75926,1.10446,0.87522,0.66667,0.82917,0.76283,0.4293,1.48031,1.11631,0.000167647,0.000167647,0.000167647
11,43.1555,0.93197,1.76481,1.10153,0.93311,0.66667,0.82917,0.796,0.46237,1.42172,1.11818,0.000163608,0.000163608,0.000163608
12,46.5662,0.92222,1.65057,1.08749,0.98818,0.66667,0.82917,0.77942,0.42315,1.40947,1.08162,0.000159569,0.000159569,0.000159569
13,49.9547,0.93384,1.5844,1.10564,0.91995,0.66667,0.82917,0.74625,0.48071,1.32858,1.14335,0.00015553,0.00015553,0.00015553
14,53.2324,0.8981,1.62927,1.08442,0.92103,0.66667,0.82917,0.74625,0.45654,1.23784,1.08952,0.00015149,0.00015149,0.00015149
