epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94971,1.03142,4.58416,1.17443,0,0,0,0,0.91052,4.41508,1.00195,1.5e-05,1.5e-05,1.5e-05
2,7.36047,0.99674,4.52687,1.14699,0,0,0,0,0.90787,4.39653,1.00163,3.18565e-05,3.18565e-05,3.18565e-05
3,10.5367,0.99311,4.4793,1.1358,0,0,0,0,0.91797,4.38638,1.00761,4.802e-05,4.802e-05,4.802e-05
4,13.7558,0.98907,4.42313,1.15799,0,0,0,0,0.92989,4.36571,1.01423,6.34905e-05,6.34905e-05,6.34905e-05
