epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10326,1.04129,4.69274,1.17023,0,0,0,0,0.29483,4.09466,1.0963,1.632e-05,1.632e-05,1.632e-05
2,5.87243,1.05761,4.679,1.14884,0,0,0,0,0.30979,4.09787,1.09462,2.78134e-05,2.78134e-05,2.78134e-05
3,8.44075,1.05239,4.6062,1.14662,0,0,0,0,0.31136,4.09571,1.07744,3.20362e-05,3.20362e-05,3.20362e-05
4,10.9118,1.04982,4.58718,1.15235,0,0,0,0,0.35475,4.09549,1.13852,2.89884e-05,2.89884e-05,2.89884e-05
5,13.3648,0.99545,4.53779,1.15368,0,0,0,0,0.34371,4.09475,1.16171,1.86701e-05,1.86701e-05,1.86701e-05
