epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26045,1.05584,4.70587,1.18233,0,0,0,0,0.30461,4.09431,1.09381,1.632e-05,1.632e-05,1.632e-05
2,6.3257,1.06249,4.68069,1.15433,0,0,0,0,0.29878,4.09244,1.08655,3.39933e-05,3.39933e-05,3.39933e-05
3,9.23756,1.04699,4.59937,1.14879,0,0,0,0,0.29599,4.09409,1.10702,5.09396e-05,5.09396e-05,5.09396e-05
4,13.2995,1.03865,4.54855,1.14911,0,0,0,0,0.2906,4.08985,1.1413,6.71588e-05,6.71588e-05,6.71588e-05
5,17.9133,0.97934,4.45585,1.14617,0,0,0,0,0.3734,4.07591,1.14189,8.2651e-05,8.2651e-05,8.2651e-05
6,22.5386,0.99877,4.40938,1.14486,0,0,0,0,0.42818,4.05831,1.1886,9.74161e-05,9.74161e-05,9.74161e-05
7,27.0493,1.00726,4.34291,1.14711,0,0,0,0,0.42874,4.01694,1.17062,0.000111454,0.000111454,0.000111454
8,31.6688,1.03418,4.26595,1.17019,0,0,0,0,0.40355,3.95376,1.1885,0.000124765,0.000124765,0.000124765
9,36.3082,0.97172,4.15935,1.10863,0.33333,0.33333,0.33167,0.26533,0.41939,3.84281,1.18131,0.000137349,0.000137349,0.000137349
10,40.8573,0.97926,4.0621,1.11745,0.33333,0.33333,0.33167,0.2985,0.41514,3.73057,1.15545,0.000149206,0.000149206,0.000149206
11,45.3758,1.04336,4.00989,1.13872,0.33333,0.33333,0.33167,0.33167,0.46298,3.63985,1.22919,0.000160336,0.000160336,0.000160336
12,50.2738,1.05175,3.87517,1.15217,0.33333,0.33333,0.33167,0.33167,0.48532,3.48069,1.35659,0.000159569,0.000159569,0.000159569
13,53.8766,1.00176,3.76212,1.12541,0.16667,0.33333,0.33167,0.33167,0.48698,3.44899,1.38116,0.00015553,0.00015553,0.00015553
14,58.5528,1.02852,3.65791,1.16794,0.54139,0.33333,0.33167,0.33167,0.4893,3.50777,1.35917,0.00015149,0.00015149,0.00015149
15,62.9677,0.9986,3.58515,1.11879,0.22278,0.33333,0.33167,0.33167,0.46076,3.46947,1.319,0.000147451,0.000147451,0.000147451
16,67.4106,1.06429,3.55227,1.17348,0.27983,0.33333,0.33167,0.33167,0.41976,3.3836,1.22758,0.000143412,0.000143412,0.000143412
17,71.9596,1.05175,3.45172,1.15375,0.2971,0.33333,0.33167,0.33167,0.40979,3.34988,1.25725,0.000139373,0.000139373,0.000139373
18,76.6351,1.04824,3.26142,1.13846,0.30803,0.33333,0.33167,0.33167,0.45088,3.29612,1.26255,0.000135334,0.000135334,0.000135334
19,81.1198,1.04815,3.16846,1.12603,0.31431,0.33333,0.33167,0.33167,0.43629,3.30891,1.22511,0.000131294,0.000131294,0.000131294
20,85.2087,1.07255,3.1366,1.14783,0.32081,0.33333,0.33167,0.33167,0.37096,3.33018,1.17662,0.000127255,0.000127255,0.000127255
21,88.1054,1.03828,3.03105,1.14908,0.32307,0.33333,0.33167,0.33167,0.33179,3.29138,1.16137,0.000123216,0.000123216,0.000123216
22,90.981,1.04047,2.94205,1.14668,0.32385,0.33333,0.33167,0.33167,0.30154,3.27213,1.16676,0.000119177,0.000119177,0.000119177
23,93.8861,1.03813,2.95095,1.14154,0.65763,0.33333,0.33167,0.33167,0.29282,3.26041,1.15696,0.000115138,0.000115138,0.000115138
24,96.6958,1.04983,2.89684,1.11548,0.65764,0.33333,0.33167,0.33167,0.32477,3.29119,1.17165,0.000111098,0.000111098,0.000111098
25,99.4282,0.99434,2.71562,1.14992,0.65783,0.33333,0.33167,0.33167,0.3317,3.24403,1.14886,0.000107059,0.000107059,0.000107059
26,102.232,1.05758,2.70938,1.13411,0.65791,0.33333,0.4975,0.4975,0.34438,3.18266,1.14029,0.00010302,0.00010302,0.00010302
27,105.03,1.02118,2.77022,1.15852,0.65789,0.33333,0.4975,0.4975,0.34141,3.14666,1.15482,9.89808e-05,9.89808e-05,9.89808e-05
28,107.77,0.99811,2.73253,1.1159,0.66667,1,0.82917,0.796,0.36812,3.03883,1.12464,9.49416e-05,9.49416e-05,9.49416e-05
29,110.539,0.98999,2.52257,1.13044,0.66667,1,0.82917,0.796,0.36786,2.97725,1.13077,9.09024e-05,9.09024e-05,9.09024e-05
30,113.319,1.01263,2.4851,1.12033,0.66667,1,0.82917,0.77942,0.36484,2.98599,1.13072,8.68632e-05,8.68632e-05,8.68632e-05
31,116.032,0.97018,2.53896,1.11428,0.66667,1,0.82917,0.76283,0.39165,3.03758,1.13598,8.2824e-05,8.2824e-05,8.2824e-05
32,118.783,1.03192,2.53093,1.12189,0.5,0.66667,0.66333,0.63017,0.41733,3.08845,1.15216,7.87848e-05,7.87848e-05,7.87848e-05
33,121.616,0.96254,2.36569,1.10306,0.5,0.66667,0.66333,0.66333,0.41589,3.09714,1.16244,7.47456e-05,7.47456e-05,7.47456e-05
34,124.461,0.96547,2.34447,1.10034,0.5,0.66667,0.66333,0.63017,0.41942,3.05487,1.15681,7.07064e-05,7.07064e-05,7.07064e-05
35,127.25,0.96397,2.46501,1.10632,0.5,0.66667,0.66333,0.63017,0.39556,3.06062,1.14814,6.66672e-05,6.66672e-05,6.66672e-05
36,130.068,0.97003,2.23589,1.08017,0.5,0.66667,0.66333,0.63017,0.39446,3.02017,1.14286,6.2628e-05,6.2628e-05,6.2628e-05
37,132.842,1.00074,2.35472,1.13172,0.44444,0.66667,0.66333,0.63017,0.38876,2.97376,1.14427,5.85888e-05,5.85888e-05,5.85888e-05
38,135.608,1.03396,2.28258,1.11547,0.44444,0.66667,0.66333,0.63017,0.39933,2.88886,1.14799,5.45496e-05,5.45496e-05,5.45496e-05
39,138.412,0.99801,2.26651,1.11045,0.61111,1,0.82917,0.76283,0.41347,2.78372,1.12563,5.05104e-05,5.05104e-05,5.05104e-05
40,141.23,0.98732,2.21621,1.10679,0.58333,1,0.82917,0.77942,0.41922,2.72776,1.11748,4.64712e-05,4.64712e-05,4.64712e-05
