epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4052,1.05584,4.70587,1.18233,0,0,0,0,0.30461,4.09431,1.09381,1.632e-05,1.632e-05,1.632e-05
2,6.50899,1.06249,4.68069,1.15433,0,0,0,0,0.29878,4.09244,1.08655,3.39933e-05,3.39933e-05,3.39933e-05
3,9.43825,1.04699,4.59937,1.14879,0,0,0,0,0.29599,4.09409,1.10702,5.09396e-05,5.09396e-05,5.09396e-05
4,12.3363,1.03865,4.54855,1.14911,0,0,0,0,0.2906,4.08985,1.1413,6.71588e-05,6.71588e-05,6.71588e-05
5,15.2579,0.97934,4.45585,1.14617,0,0,0,0,0.3734,4.07591,1.14189,8.2651e-05,8.2651e-05,8.2651e-05
6,18.0982,0.99877,4.40938,1.14486,0,0,0,0,0.42818,4.05831,1.1886,9.74161e-05,9.74161e-05,9.74161e-05
7,20.9433,1.00726,4.34291,1.14711,0,0,0,0,0.42874,4.01694,1.17062,0.000111454,0.000111454,0.000111454
