epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.780365,0.57317,3.64539,1.11582,0.05556,0.33333,0.33167,0.2985,0.39868,3.46446,1.12816,0,0,0
2,1.27787,0.63119,3.68892,1.19053,0.07778,0.66667,0.35378,0.32061,0.40415,3.46273,1.14242,5.76358e-06,5.76358e-06,5.76358e-06
3,1.88073,0.66432,3.6998,1.20971,0.07222,0.66667,0.36852,0.33535,0.41507,3.46154,1.14262,1.12943e-05,1.12943e-05,1.12943e-05
4,2.48186,0.74422,3.66617,1.35393,0.05401,0.66667,0.35378,0.32061,0.42297,3.46127,1.1402,1.65922e-05,1.65922e-05,1.65922e-05
5,3.08182,0.62624,3.68999,1.24213,0.05208,0.66667,0.35718,0.32401,0.4277,3.46104,1.14382,2.16572e-05,2.16572e-05,2.16572e-05
6,3.68554,0.51404,3.6387,1.15318,0.04876,0.66667,0.3524,0.31923,0.42755,3.45961,1.16495,2.64894e-05,2.64894e-05,2.64894e-05
7,4.30294,0.43815,3.58217,1.04872,0.04657,0.66667,0.35718,0.32401,0.41739,3.45808,1.19241,3.10887e-05,3.10887e-05,3.10887e-05
8,4.90261,0.76851,3.6679,1.28998,0.0463,0.66667,0.3524,0.31923,0.42302,3.45712,1.18884,3.54552e-05,3.54552e-05,3.54552e-05
9,5.49232,0.54393,3.56832,1.11789,0.04573,0.66667,0.35718,0.32401,0.41081,3.45788,1.16784,3.95889e-05,3.95889e-05,3.95889e-05
10,6.10394,0.67355,3.59011,1.18997,0.0336,0.66667,0.35931,0.32614,0.41421,3.45861,1.19047,4.34897e-05,4.34897e-05,4.34897e-05
11,6.69498,0.68633,3.6417,1.17808,0.03313,0.66667,0.36182,0.32865,0.4051,3.45754,1.19355,4.71576e-05,4.71576e-05,4.71576e-05
12,7.39445,0.52357,3.57485,1.07073,0.03308,0.66667,0.37312,0.33996,0.39603,3.45708,1.21325,5.05927e-05,5.05927e-05,5.05927e-05
13,8.00114,0.65818,3.66359,1.31178,0.03578,0.66667,0.36182,0.32564,0.38802,3.45636,1.20501,5.37949e-05,5.37949e-05,5.37949e-05
