epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.618706,0.57317,3.64539,1.11582,0.05556,0.33333,0.33167,0.2985,0.39868,3.46446,1.12816,0,0,0
2,1.05551,0.63119,3.68892,1.19053,0.07778,0.66667,0.35378,0.32061,0.40415,3.46273,1.14242,5.76358e-06,5.76358e-06,5.76358e-06
3,1.56516,0.66432,3.6998,1.20971,0.07222,0.66667,0.36852,0.33535,0.41507,3.46154,1.14262,1.12943e-05,1.12943e-05,1.12943e-05
4,2.06389,0.74422,3.66617,1.35393,0.05401,0.66667,0.35378,0.32061,0.42297,3.46127,1.1402,1.65922e-05,1.65922e-05,1.65922e-05
5,2.54907,0.62624,3.68999,1.24213,0.05208,0.66667,0.35718,0.32401,0.4277,3.46104,1.14382,2.16572e-05,2.16572e-05,2.16572e-05
6,3.05424,0.51404,3.6387,1.15318,0.04876,0.66667,0.3524,0.31923,0.42755,3.45961,1.16495,2.64894e-05,2.64894e-05,2.64894e-05
7,3.56045,0.43815,3.58217,1.04872,0.04657,0.66667,0.35718,0.32401,0.41739,3.45808,1.19241,3.10887e-05,3.10887e-05,3.10887e-05
8,4.06243,0.76851,3.6679,1.28998,0.0463,0.66667,0.3524,0.31923,0.42302,3.45712,1.18884,3.54552e-05,3.54552e-05,3.54552e-05
9,4.60114,0.54393,3.56832,1.11789,0.04573,0.66667,0.35718,0.32401,0.41081,3.45788,1.16784,3.95889e-05,3.95889e-05,3.95889e-05
10,5.13435,0.67355,3.59011,1.18997,0.0336,0.66667,0.35931,0.32614,0.41421,3.45861,1.19047,4.34897e-05,4.34897e-05,4.34897e-05
11,5.6495,0.68633,3.6417,1.17808,0.03313,0.66667,0.36182,0.32865,0.4051,3.45754,1.19355,4.71576e-05,4.71576e-05,4.71576e-05
12,6.24708,0.52357,3.57485,1.07073,0.03308,0.66667,0.37312,0.33996,0.39603,3.45708,1.21325,5.05927e-05,5.05927e-05,5.05927e-05
13,6.79073,0.65818,3.66359,1.31178,0.03578,0.66667,0.36182,0.32564,0.38802,3.45636,1.20501,5.37949e-05,5.37949e-05,5.37949e-05
14,7.33015,0.56171,3.49469,1.09136,0.03932,0.66667,0.37312,0.33581,0.43036,3.45545,1.24942,5.67643e-05,5.67643e-05,5.67643e-05
15,7.83644,0.6997,3.52682,1.27316,0.03919,0.66667,0.398,0.3582,0.45761,3.45481,1.2556,5.95009e-05,5.95009e-05,5.95009e-05
16,8.39568,0.48364,3.47839,1.10769,0.0436,0.66667,0.44222,0.398,0.50659,3.45263,1.29688,6.20046e-05,6.20046e-05,6.20046e-05
17,9.26198,0.73121,3.49358,1.27112,0.04359,0.66667,0.33167,0.2985,0.55435,3.45165,1.33107,6.42755e-05,6.42755e-05,6.42755e-05
18,10.3272,0.57536,3.39458,1.08224,0.04359,0.66667,0.33167,0.2985,0.55435,3.45165,1.33107,6.63135e-05,6.63135e-05,6.63135e-05
19,11.4891,0.65437,3.46326,1.13667,0.04947,0.66667,0.4975,0.44775,0.62674,3.45266,1.37115,6.81186e-05,6.81186e-05,6.81186e-05
20,12.5478,0.46926,3.49242,1.0754,0.04947,0.66667,0.4975,0.44775,0.62674,3.45266,1.37115,6.96909e-05,6.96909e-05,6.96909e-05
21,13.2104,0.709,3.50217,1.16793,0.05745,0.66667,0.33167,0.2985,0.6252,3.44956,1.3136,7.10304e-05,7.10304e-05,7.10304e-05
22,13.6704,0.54711,3.47699,1.11339,0.05745,0.66667,0.33167,0.2985,0.6252,3.44956,1.3136,7.2137e-05,7.2137e-05,7.2137e-05
23,14.2547,0.50231,3.4107,1.04114,0.04953,0.66667,0.33167,0.2985,0.6437,3.44502,1.29222,7.30108e-05,7.30108e-05,7.30108e-05
24,14.7594,0.5974,3.50711,1.21529,0.04953,0.66667,0.33167,0.2985,0.6437,3.44502,1.29222,7.36517e-05,7.36517e-05,7.36517e-05
25,15.2896,0.48741,3.39323,1.0709,0.04353,0.66667,0.33167,0.2985,0.63996,3.44526,1.25308,7.40598e-05,7.40598e-05,7.40598e-05
26,15.7773,0.44243,3.32429,1.08565,0.04353,0.66667,0.33167,0.2985,0.63996,3.44526,1.25308,7.4235e-05,7.4235e-05,7.4235e-05
27,16.3016,0.5112,3.35802,1.02569,0.05754,0.66667,0.33167,0.2985,0.62241,3.44403,1.20623,7.41774e-05,7.41774e-05,7.41774e-05
28,16.7968,0.48775,3.31866,1.06033,0.05754,0.66667,0.33167,0.2985,0.62241,3.44403,1.20623,7.38869e-05,7.38869e-05,7.38869e-05
29,17.3042,0.43966,3.27622,0.98232,0.05761,0.66667,0.33167,0.2985,0.62284,3.44261,1.20501,7.33636e-05,7.33636e-05,7.33636e-05
30,17.7634,0.40931,3.22557,1.03558,0.05761,0.66667,0.33167,0.2985,0.62284,3.44261,1.20501,7.26074e-05,7.26074e-05,7.26074e-05
31,18.2806,0.74223,3.36318,1.20953,0.04976,0.66667,0.33167,0.2985,0.60133,3.44121,1.18125,7.16184e-05,7.16184e-05,7.16184e-05
32,18.7327,0.53299,3.34098,1.11244,0.04976,0.66667,0.33167,0.2985,0.60133,3.44121,1.18125,7.03965e-05,7.03965e-05,7.03965e-05
33,19.2264,0.47167,3.33823,1.04789,0.04986,0.66667,0.33167,0.2985,0.58498,3.43777,1.17839,6.89418e-05,6.89418e-05,6.89418e-05
34,19.7689,0.48833,3.30725,1.13265,0.04986,0.66667,0.33167,0.2985,0.58498,3.43777,1.17839,6.72543e-05,6.72543e-05,6.72543e-05
35,20.271,0.53768,3.34511,1.15364,0.03927,0.66667,0.33167,0.2985,0.57328,3.43596,1.18027,6.53339e-05,6.53339e-05,6.53339e-05
36,20.7388,0.5302,3.22013,1.0826,0.03927,0.66667,0.33167,0.2985,0.57328,3.43596,1.18027,6.31806e-05,6.31806e-05,6.31806e-05
37,21.2301,0.48772,3.2098,1.04544,0.03016,0.66667,0.33167,0.2985,0.57743,3.43672,1.20424,6.07945e-05,6.07945e-05,6.07945e-05
38,21.6664,0.43478,3.18714,1.07502,0.03016,0.66667,0.33167,0.2985,0.57743,3.43672,1.20424,5.81755e-05,5.81755e-05,5.81755e-05
39,22.1362,0.50186,3.23421,1.11864,0.02626,0.66667,0.33167,0.2985,0.60658,3.43541,1.23299,5.53237e-05,5.53237e-05,5.53237e-05
40,22.5979,0.49867,3.20558,1.07968,0.02626,0.66667,0.33167,0.2985,0.60658,3.43541,1.23299,5.22391e-05,5.22391e-05,5.22391e-05
41,23.0865,0.37329,3.29164,0.93482,0.02827,0.66667,0.33167,0.2985,0.63189,3.4346,1.24374,4.89216e-05,4.89216e-05,4.89216e-05
42,23.6291,0.29952,3.11832,0.96113,0.02827,0.66667,0.33167,0.2985,0.63189,3.4346,1.24374,4.53713e-05,4.53713e-05,4.53713e-05
43,24.1481,0.33101,3.21216,0.93706,0.03053,0.66667,0.33167,0.2985,0.65898,3.43434,1.26196,4.15881e-05,4.15881e-05,4.15881e-05
