epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.675581,0.44714,3.19994,1.00289,0.03267,0.66667,0.4975,0.44775,0.6183,3.44623,1.2762,0,0,0
2,1.12428,0.45977,3.19943,1.03109,0.03014,0.66667,0.4975,0.44775,0.62351,3.4435,1.2692,5.76358e-06,5.76358e-06,5.76358e-06
3,1.66016,0.41153,3.19313,1.02745,0.03021,0.66667,0.33167,0.31508,0.63728,3.44432,1.27475,1.12943e-05,1.12943e-05,1.12943e-05
4,2.18355,0.60618,3.25048,1.19523,0.03028,0.66667,0.4975,0.44775,0.64568,3.44473,1.29073,1.65922e-05,1.65922e-05,1.65922e-05
5,2.7766,0.45813,3.18721,1.05436,0.03018,0.66667,0.33167,0.2985,0.69366,3.44192,1.29265,2.16572e-05,2.16572e-05,2.16572e-05
6,3.37747,0.45207,3.13218,1.10952,0.03027,0.66667,0.33167,0.31508,0.72811,3.44546,1.31043,2.64894e-05,2.64894e-05,2.64894e-05
7,3.95708,0.4586,3.13364,1.03285,0.02637,0.66667,0.66333,0.63017,0.73785,3.44426,1.31661,3.10887e-05,3.10887e-05,3.10887e-05
8,4.54143,0.61725,3.2542,1.16182,0.02827,0.66667,0.66333,0.63017,0.74755,3.44546,1.33672,3.54552e-05,3.54552e-05,3.54552e-05
9,5.09166,0.3104,3.09415,0.97632,0.0304,0.66667,0.66333,0.63017,0.73499,3.44067,1.32827,3.95889e-05,3.95889e-05,3.95889e-05
10,5.65769,0.4265,3.10893,1.02285,0.02654,0.66667,0.66333,0.63017,0.72202,3.44002,1.30552,4.34897e-05,4.34897e-05,4.34897e-05
11,6.23322,0.50321,3.20693,1.05102,0.02842,0.66667,0.66333,0.63017,0.74337,3.44051,1.32871,4.71576e-05,4.71576e-05,4.71576e-05
12,6.87926,0.44701,3.20147,1.05291,0.0332,0.66667,0.66333,0.63017,0.77237,3.44043,1.36062,5.05927e-05,5.05927e-05,5.05927e-05
13,7.47852,0.47844,3.28203,1.13978,0.02888,0.66667,0.66333,0.63017,0.77665,3.43607,1.35942,5.37949e-05,5.37949e-05,5.37949e-05
14,8.03425,0.43773,3.09572,1.00395,0.04031,0.66667,0.66333,0.63017,0.75462,3.43538,1.34072,5.67643e-05,5.67643e-05,5.67643e-05
15,8.57294,0.44916,3.03561,1.07864,0.04037,0.66667,0.66333,0.63017,0.75308,3.43113,1.34195,5.95009e-05,5.95009e-05,5.95009e-05
16,9.16454,0.42413,3.04427,1.04995,0.03688,0.66667,0.66333,0.63017,0.7339,3.43292,1.34299,6.20046e-05,6.20046e-05,6.20046e-05
17,9.75152,0.47546,3.04769,1.12463,0.02589,0.66667,0.66333,0.597,0.71362,3.43103,1.32787,6.42755e-05,6.42755e-05,6.42755e-05
18,10.3113,0.50119,2.9016,1.04471,0.02589,0.66667,0.66333,0.597,0.71362,3.43103,1.32787,6.63135e-05,6.63135e-05,6.63135e-05
19,10.9025,0.53482,2.95951,1.02844,0.02605,0.66667,0.66333,0.597,0.66453,3.42947,1.29515,6.81186e-05,6.81186e-05,6.81186e-05
20,11.4902,0.38386,3.11333,1.02577,0.02605,0.66667,0.66333,0.597,0.66453,3.42947,1.29515,6.96909e-05,6.96909e-05,6.96909e-05
21,12.115,0.57515,3.06515,1.09622,0.02769,0.66667,0.66333,0.597,0.63831,3.42456,1.2804,7.10304e-05,7.10304e-05,7.10304e-05
22,12.752,0.46768,3.07049,1.09867,0.02769,0.66667,0.66333,0.597,0.63831,3.42456,1.2804,7.2137e-05,7.2137e-05,7.2137e-05
