epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.582182,0.6418,3.66929,1.14567,0.16667,0.33333,0.16583,0.16583,0.29667,3.46781,1.10322,0,0,0
2,0.971916,0.67328,3.71824,1.21672,0.16667,0.33333,0.33167,0.33167,0.29786,3.46628,1.10535,5.76358e-06,5.76358e-06,5.76358e-06
3,1.4272,0.71515,3.72557,1.24637,0.16667,0.33333,0.16583,0.16583,0.3068,3.46647,1.09221,1.12943e-05,1.12943e-05,1.12943e-05
4,1.78629,0.79284,3.69893,1.37753,0.16667,0.33333,0.16583,0.16583,0.31214,3.46595,1.09641,1.65922e-05,1.65922e-05,1.65922e-05
5,2.14223,0.68929,3.71537,1.26098,0.11111,0.33333,0.33167,0.33167,0.31386,3.46375,1.09709,2.16572e-05,2.16572e-05,2.16572e-05
6,2.53705,0.64362,3.74004,1.25567,0.08333,0.33333,0.33167,0.33167,0.3258,3.46283,1.09066,2.64894e-05,2.64894e-05,2.64894e-05
7,3.02267,0.57974,3.6311,1.11949,0.11111,0.33333,0.33167,0.33167,0.35904,3.46382,1.14639,3.10887e-05,3.10887e-05,3.10887e-05
8,3.50228,0.93307,3.7114,1.37573,0.11111,0.33333,0.33167,0.33167,0.38869,3.46356,1.14459,3.54552e-05,3.54552e-05,3.54552e-05
9,3.97318,0.62182,3.59645,1.16534,0.08333,0.33333,0.33167,0.2985,0.38552,3.46335,1.1509,3.95889e-05,3.95889e-05,3.95889e-05
10,4.4309,0.73156,3.6384,1.23002,0.08627,0.66667,0.35378,0.32061,0.44111,3.4622,1.23126,4.34897e-05,4.34897e-05,4.34897e-05
11,4.89633,0.67425,3.66653,1.1885,0.08333,0.66667,0.36182,0.31358,0.46621,3.46342,1.24009,4.71576e-05,4.71576e-05,4.71576e-05
12,5.35675,0.56766,3.59293,1.09111,0.08,0.66667,0.36483,0.31177,0.51875,3.46196,1.31458,5.05927e-05,5.05927e-05,5.05927e-05
13,5.82504,0.65827,3.68718,1.29358,0.07619,0.66667,0.37905,0.32219,0.53131,3.4614,1.31606,5.37949e-05,5.37949e-05,5.37949e-05
14,6.28774,0.57581,3.50591,1.10348,0.0732,0.66667,0.398,0.32399,0.53782,3.46068,1.31629,5.67643e-05,5.67643e-05,5.67643e-05
15,6.82748,0.72714,3.5704,1.29456,0.07196,0.66667,0.21321,0.18775,0.54198,3.4608,1.31928,5.95009e-05,5.95009e-05,5.95009e-05
