epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06844,0.98103,2.19007,1.11158,0.3254,1,0.995,0.92867,0.42451,2.23715,1.20487,1.632e-05,1.632e-05,1.632e-05
2,7.21816,0.93877,2.14673,1.06491,0.38889,1,0.995,0.92867,0.42463,2.05662,1.16309,3.39933e-05,3.39933e-05,3.39933e-05
3,10.1553,0.9706,2.08456,1.0888,0.38889,1,0.995,0.92867,0.45971,2.01629,1.16877,5.09396e-05,5.09396e-05,5.09396e-05
4,13.0697,0.95411,2.02744,1.08641,0.38889,1,0.995,0.92867,0.45284,1.97162,1.16948,6.71588e-05,6.71588e-05,6.71588e-05
5,16.0172,0.89303,2.05184,1.07902,0.38889,1,0.995,0.8955,0.56042,1.92077,1.21841,8.2651e-05,8.2651e-05,8.2651e-05
