epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.670437,0.42862,2.97984,0.97625,0.03696,0.66667,0.66333,0.63017,0.74538,3.43269,1.35173,0,0,0
2,1.10211,0.46049,3.02775,1.01886,0.04055,0.66667,0.66333,0.63017,0.74973,3.4301,1.34505,5.76358e-06,5.76358e-06,5.76358e-06
3,1.6215,0.36573,2.92089,0.98088,0.04055,0.66667,0.66333,0.63017,0.75059,3.43161,1.35619,1.12943e-05,1.12943e-05,1.12943e-05
4,2.14511,0.59223,3.09106,1.19401,0.0407,0.66667,0.66333,0.63017,0.73587,3.42806,1.34416,1.65922e-05,1.65922e-05,1.65922e-05
5,2.69069,0.32612,2.85163,0.97756,0.04066,0.66667,0.66333,0.63017,0.73212,3.43053,1.35301,2.16572e-05,2.16572e-05,2.16572e-05
6,3.22544,0.39339,2.88226,1.06208,0.03681,0.66667,0.66333,0.63017,0.73185,3.42914,1.35189,2.64894e-05,2.64894e-05,2.64894e-05
7,3.75033,0.40629,2.90397,1.00151,0.03725,0.66667,0.66333,0.63017,0.68606,3.42859,1.32511,3.10887e-05,3.10887e-05,3.10887e-05
8,4.27258,0.55985,3.06111,1.10117,0.0293,0.66667,0.66333,0.63017,0.67352,3.42348,1.31024,3.54552e-05,3.54552e-05,3.54552e-05
9,4.80291,0.28827,2.79356,0.97312,0.03405,0.66667,0.66333,0.63017,0.64356,3.422,1.28464,3.95889e-05,3.95889e-05,3.95889e-05
10,5.34124,0.40393,2.89504,1.00101,0.02943,0.66667,0.66333,0.63017,0.64078,3.42136,1.27339,4.34897e-05,4.34897e-05,4.34897e-05
11,5.84972,0.43098,2.88327,1.00188,0.03716,0.66667,0.66333,0.63017,0.6188,3.41898,1.25729,4.71576e-05,4.71576e-05,4.71576e-05
12,6.45606,0.41219,2.99577,1.01705,0.03721,0.66667,0.66333,0.63017,0.61676,3.41686,1.24924,5.05927e-05,5.05927e-05,5.05927e-05
13,6.96782,0.41068,3.11759,1.07562,0.0374,0.66667,0.66333,0.597,0.6076,3.41505,1.22473,5.37949e-05,5.37949e-05,5.37949e-05
14,7.45855,0.3947,2.92086,0.99349,0.03175,0.66667,0.66333,0.63017,0.60476,3.41661,1.19971,5.67643e-05,5.67643e-05,5.67643e-05
15,7.96066,0.42078,2.81424,1.05375,0.03194,0.66667,0.66333,0.63017,0.68765,3.41329,1.24852,5.95009e-05,5.95009e-05,5.95009e-05
16,8.45639,0.39779,2.8898,1.0437,0.03216,0.66667,0.66333,0.63017,0.73976,3.41599,1.2823,6.20046e-05,6.20046e-05,6.20046e-05
17,8.96645,0.48801,2.91663,1.12951,0.03228,0.66667,0.66333,0.597,0.68315,3.40977,1.23653,6.42755e-05,6.42755e-05,6.42755e-05
18,9.46418,0.49057,2.71648,1.03925,0.03228,0.66667,0.66333,0.597,0.68315,3.40977,1.23653,6.63135e-05,6.63135e-05,6.63135e-05
19,9.96606,0.50403,2.75538,1.00065,0.03234,0.66667,0.66333,0.597,0.65658,3.40169,1.22832,6.81186e-05,6.81186e-05,6.81186e-05
20,10.4414,0.45362,2.91085,1.0588,0.03234,0.66667,0.66333,0.597,0.65658,3.40169,1.22832,6.96909e-05,6.96909e-05,6.96909e-05
