epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.620432,0.6418,3.66929,1.14567,0.16667,0.33333,0.16583,0.16583,0.29667,3.46781,1.10322,0,0,0
2,1.04584,0.67328,3.71824,1.21672,0.16667,0.33333,0.33167,0.33167,0.29786,3.46628,1.10535,5.58894e-06,5.58894e-06,5.58894e-06
3,1.52252,0.71515,3.72557,1.24637,0.16667,0.33333,0.16583,0.16583,0.3068,3.46647,1.09221,1.05958e-05,1.05958e-05,1.05958e-05
4,1.90953,0.79284,3.69893,1.37753,0.16667,0.33333,0.16583,0.16583,0.31214,3.46595,1.09641,1.50205e-05,1.50205e-05,1.50205e-05
5,2.29288,0.68929,3.71537,1.26098,0.11111,0.33333,0.33167,0.33167,0.31386,3.46375,1.09709,1.8863e-05,1.8863e-05,1.8863e-05
6,2.76304,0.64362,3.74004,1.25567,0.08333,0.33333,0.33167,0.33167,0.32413,3.46463,1.09132,2.21235e-05,2.21235e-05,2.21235e-05
7,3.29044,0.5816,3.6315,1.11596,0.06667,0.33333,0.33167,0.33167,0.34882,3.46464,1.13555,2.48018e-05,2.48018e-05,2.48018e-05
8,3.80362,0.92473,3.71677,1.3722,0.06667,0.33333,0.33167,0.33167,0.38504,3.46463,1.14363,2.68981e-05,2.68981e-05,2.68981e-05
9,4.34964,0.64007,3.60141,1.16898,0.09231,0.66667,0.35931,0.32614,0.38999,3.46315,1.12927,2.84122e-05,2.84122e-05,2.84122e-05
10,4.86029,0.71025,3.65571,1.22948,0.08889,0.66667,0.35536,0.32219,0.39068,3.46226,1.12539,2.93441e-05,2.93441e-05,2.93441e-05
11,5.38636,0.62508,3.82706,1.14581,0.08182,0.66667,0.35718,0.32401,0.38618,3.4618,1.13544,2.9694e-05,2.9694e-05,2.9694e-05
12,5.94115,0.64137,3.96982,1.20695,0.0679,0.66667,0.35536,0.32219,0.40389,3.46089,1.13781,2.94617e-05,2.94617e-05,2.94617e-05
13,6.48778,0.43579,3.78112,1.01409,0.05595,0.66667,0.35931,0.32614,0.41045,3.46211,1.16125,2.86474e-05,2.86474e-05,2.86474e-05
14,6.99255,0.46394,3.86125,1.00902,0.04924,0.66667,0.36483,0.32172,0.4284,3.46008,1.17973,2.72509e-05,2.72509e-05,2.72509e-05
15,7.56794,0.50726,3.85811,1.17155,0.03838,0.66667,0.35536,0.31508,0.43918,3.46139,1.18758,2.52722e-05,2.52722e-05,2.52722e-05
16,8.08181,0.47156,3.77028,0.99979,0.03261,0.66667,0.36483,0.32172,0.43501,3.45949,1.18585,2.27115e-05,2.27115e-05,2.27115e-05
17,8.56802,0.39416,3.82043,0.99216,0.03003,0.66667,0.37905,0.32693,0.4343,3.46128,1.19865,1.95686e-05,1.95686e-05,1.95686e-05
18,9.02992,0.43573,3.77041,1.12022,0.03003,0.66667,0.37905,0.32693,0.4343,3.46128,1.19865,1.58437e-05,1.58437e-05,1.58437e-05
19,9.51459,0.38466,3.73334,1.03654,0.02525,0.66667,0.37905,0.32693,0.43245,3.45895,1.19675,1.15366e-05,1.15366e-05,1.15366e-05
20,9.97527,0.38394,3.74546,1.08709,0.02525,0.66667,0.37905,0.32693,0.43245,3.45895,1.19675,6.64734e-06,6.64734e-06,6.64734e-06
