epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08945,1.12513,4.55076,1.18937,0.02721,0.19639,0.02293,0.01768,1.01825,4.24309,1.06945,3.25e-05,3.25e-05,3.25e-05
2,11.8474,1.03395,4.39897,1.14518,0.0303,0.25849,0.04111,0.03044,1.00872,4.12903,1.06294,6.61635e-05,6.61635e-05,6.61635e-05
3,17.7124,1.05917,4.28803,1.1487,0.03628,0.37766,0.06963,0.05102,1.01627,3.88751,1.06147,9.8441e-05,9.8441e-05,9.8441e-05
4,23.364,0.99687,4.04351,1.14297,0.02882,0.41517,0.09957,0.07294,1.03291,3.60573,1.0732,0.000129332,0.000129332,0.000129332
5,29.0759,1.05183,3.86247,1.1429,0.6337,0.09189,0.14154,0.10522,1.06021,3.29402,1.08201,0.000158838,0.000158838,0.000158838
6,34.7883,1.03972,3.722,1.14501,0.648,0.1355,0.15511,0.11367,1.09625,3.01914,1.10971,0.000186958,0.000186958,0.000186958
7,40.5417,1.07316,3.52088,1.17016,0.62541,0.1491,0.16663,0.12267,1.08961,2.83017,1.10219,0.000213691,0.000213691,0.000213691
8,46.3991,1.05842,3.35146,1.14833,0.6413,0.15323,0.17774,0.12768,1.04344,2.68972,1.08187,0.00021535,0.00021535,0.00021535
9,52.2704,1.07594,3.13395,1.13544,0.63556,0.15883,0.19479,0.14063,1.04683,2.63194,1.08534,0.0002104,0.0002104,0.0002104
10,58.0705,1.01503,2.9101,1.15237,0.73857,0.17715,0.24181,0.19108,1.00907,2.54465,1.0666,0.00020545,0.00020545,0.00020545
11,63.8659,1.06304,2.8555,1.14273,0.70665,0.20793,0.286,0.22276,1.02571,2.38709,1.06091,0.0002005,0.0002005,0.0002005
12,69.7035,1.07823,2.87129,1.13092,0.65692,0.25982,0.35376,0.27326,1.00583,2.1983,1.05041,0.00019555,0.00019555,0.00019555
13,75.4246,1.06477,2.64904,1.16331,0.8027,0.26896,0.3676,0.28017,0.9866,2.12559,1.04858,0.0001906,0.0001906,0.0001906
14,81.2494,1.0103,2.43266,1.10704,0.8376,0.28578,0.39034,0.30489,0.9717,1.99993,1.05311,0.00018565,0.00018565,0.00018565
15,86.9527,1.0637,2.39945,1.14991,0.85097,0.29588,0.42874,0.35344,0.92574,1.8757,1.02182,0.0001807,0.0001807,0.0001807
16,92.6066,0.99828,2.27557,1.13571,0.68229,0.37496,0.46018,0.37699,0.9087,1.80157,1.01651,0.00017575,0.00017575,0.00017575
17,98.2848,0.97651,2.14512,1.1139,0.7085,0.40537,0.47961,0.39165,0.92142,1.74209,1.02261,0.0001708,0.0001708,0.0001708
18,103.964,1.02464,2.1244,1.1465,0.7648,0.37895,0.49348,0.39543,0.92467,1.73349,1.0217,0.00016585,0.00016585,0.00016585
19,109.619,0.9947,2.06683,1.12841,0.8092,0.35983,0.49991,0.3988,0.89143,1.68293,1.00422,0.0001609,0.0001609,0.0001609
20,115.404,1.00595,1.95893,1.10765,0.6823,0.4307,0.51241,0.41553,0.87405,1.58619,1.0012,0.00015595,0.00015595,0.00015595
21,121.206,1.02389,1.97757,1.11955,0.6806,0.45805,0.55122,0.44926,0.86012,1.49402,0.99575,0.000151,0.000151,0.000151
22,126.992,0.95999,1.87123,1.09417,0.6685,0.499,0.56698,0.45622,0.86536,1.43999,0.99406,0.00014605,0.00014605,0.00014605
23,132.635,0.93469,1.75997,1.09675,0.84459,0.43461,0.58849,0.47298,0.86049,1.40132,0.98823,0.0001411,0.0001411,0.0001411
24,138.42,0.93753,1.7963,1.09446,0.72033,0.53697,0.60125,0.48548,0.84731,1.34993,0.98268,0.00013615,0.00013615,0.00013615
25,144.201,0.94845,1.74845,1.07974,0.76873,0.51854,0.6151,0.49672,0.85442,1.3585,0.97933,0.0001312,0.0001312,0.0001312
