epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.724248,0.41272,2.8053,0.96466,0.03228,0.66667,0.66333,0.63017,0.72425,3.41558,1.27326,0,0,0
2,1.19004,0.47746,2.78974,1.0326,0.03234,0.66667,0.66333,0.63017,0.72563,3.41576,1.27621,5.58894e-06,5.58894e-06,5.58894e-06
3,1.80617,0.27551,2.63998,0.93903,0.03009,0.66667,0.66333,0.63017,0.80801,3.4118,1.32783,1.05958e-05,1.05958e-05,1.05958e-05
4,2.43418,0.54944,2.92519,1.14928,0.03015,0.66667,0.66333,0.63017,0.80946,3.41222,1.32412,1.50205e-05,1.50205e-05,1.50205e-05
5,3.00841,0.2683,2.55394,0.95369,0.02566,0.66667,0.66333,0.597,0.81207,3.4111,1.31162,1.8863e-05,1.8863e-05,1.8863e-05
6,3.59103,0.31429,2.6887,1.0286,0.02588,0.66667,0.66333,0.597,0.86323,3.41188,1.36519,2.21235e-05,2.21235e-05,2.21235e-05
7,4.16795,0.35544,2.66085,0.97857,0.03047,0.66667,0.66333,0.597,0.83662,3.41232,1.34228,2.48018e-05,2.48018e-05,2.48018e-05
8,4.79908,0.42851,2.92407,1.05457,0.0276,0.66667,0.66333,0.597,0.97149,3.40979,1.42518,2.68981e-05,2.68981e-05,2.68981e-05
9,5.36117,0.24321,2.57088,0.96121,0.02482,0.66667,0.66333,0.597,0.99919,3.40516,1.46356,2.84122e-05,2.84122e-05,2.84122e-05
10,6.53924,0.44661,2.72071,1.01323,0.02283,0.66667,0.66333,0.56383,1.0377,3.39459,1.47566,2.93441e-05,2.93441e-05,2.93441e-05
11,7.6853,0.48933,2.75167,1.03798,0.02292,0.66667,0.66333,0.56383,1.08409,3.39068,1.50054,2.9694e-05,2.9694e-05,2.9694e-05
12,8.78277,0.44677,2.78524,1.00868,0.01809,0.66667,0.66333,0.56383,1.13973,3.38687,1.51914,2.94617e-05,2.94617e-05,2.94617e-05
13,9.3144,0.41328,2.66136,1.0273,0.01918,0.66667,0.66333,0.56383,1.12747,3.38556,1.53248,2.86474e-05,2.86474e-05,2.86474e-05
14,9.84962,0.39672,2.70284,1.05438,0.01745,0.66667,0.66333,0.56383,1.11388,3.38627,1.50633,2.72509e-05,2.72509e-05,2.72509e-05
15,10.3535,0.5033,2.6792,1.10306,0.01717,0.66667,0.66333,0.56383,1.11755,3.38575,1.51148,2.52722e-05,2.52722e-05,2.52722e-05
16,10.8417,0.48744,2.59988,1.05251,0.01717,0.66667,0.66333,0.56383,1.05502,3.38619,1.46928,2.27115e-05,2.27115e-05,2.27115e-05
17,11.3252,0.26045,2.52602,0.92762,0.01637,0.66667,0.66333,0.56383,1.04365,3.38561,1.46548,1.95686e-05,1.95686e-05,1.95686e-05
18,11.7865,0.33403,2.72105,1.0213,0.01637,0.66667,0.66333,0.56383,1.04365,3.38561,1.46548,1.58437e-05,1.58437e-05,1.58437e-05
19,12.2776,0.41213,2.70964,1.03852,0.01558,0.66667,0.66333,0.56383,1.09623,3.38503,1.49813,1.15366e-05,1.15366e-05,1.15366e-05
20,12.7997,0.40008,2.65529,1.12396,0.01558,0.66667,0.66333,0.56383,1.09623,3.38503,1.49813,6.64734e-06,6.64734e-06,6.64734e-06
