epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8151,0.72679,3.69046,1.16648,0,0,0,0,0.3145,3.46875,1.08064,0,0,0
2,11.4336,0.89588,3.75288,1.30785,0,0,0,0,0.31133,3.46806,1.09117,5.76358e-06,5.76358e-06,5.76358e-06
3,11.8791,0.72908,3.68447,1.26855,0,0,0,0,0.30723,3.4674,1.09422,1.12943e-05,1.12943e-05,1.12943e-05
4,12.3952,0.83593,3.67714,1.30519,0,0,0,0,0.30192,3.46865,1.09784,1.65922e-05,1.65922e-05,1.65922e-05
5,13.0331,0.77045,3.71817,1.30476,0.33333,0.33333,0.33167,0.33167,0.29668,3.46724,1.09662,2.16572e-05,2.16572e-05,2.16572e-05
6,13.4968,0.80608,3.70063,1.39637,0.16667,0.33333,0.16583,0.16583,0.30299,3.4664,1.10261,2.64894e-05,2.64894e-05,2.64894e-05
7,13.9333,0.9662,3.73985,1.44616,0.16667,0.33333,0.16583,0.16583,0.30699,3.46735,1.07523,3.10887e-05,3.10887e-05,3.10887e-05
8,14.3751,0.71021,3.67111,1.29084,0.16667,0.33333,0.33167,0.2985,0.31207,3.46556,1.11663,3.54552e-05,3.54552e-05,3.54552e-05
9,14.8029,0.8188,3.68672,1.31396,0.16667,0.33333,0.33167,0.2985,0.2996,3.46624,1.09151,3.95889e-05,3.95889e-05,3.95889e-05
10,15.2427,0.74113,3.63314,1.30567,0.11111,0.33333,0.33167,0.2985,0.30376,3.46602,1.09728,4.34897e-05,4.34897e-05,4.34897e-05
11,15.831,0.73363,3.62872,1.3062,0.11111,0.33333,0.33167,0.2985,0.34048,3.46659,1.13289,4.71576e-05,4.71576e-05,4.71576e-05
12,16.2788,0.66425,3.62846,1.20524,0.11111,0.33333,0.33167,0.2985,0.39993,3.46658,1.14595,5.05927e-05,5.05927e-05,5.05927e-05
13,16.7564,0.64141,3.57932,1.21323,0.16667,0.33333,0.33167,0.2985,0.45523,3.46703,1.20309,5.37949e-05,5.37949e-05,5.37949e-05
14,17.2698,0.61218,3.57923,1.20089,0.16667,0.33333,0.33167,0.2985,0.45812,3.46664,1.21717,5.67643e-05,5.67643e-05,5.67643e-05
15,17.6891,0.58062,3.60564,1.23799,0.19444,0.66667,0.35931,0.31785,0.51591,3.46387,1.24287,5.95009e-05,5.95009e-05,5.95009e-05
16,18.1069,0.53288,3.66676,1.04957,0.18333,0.66667,0.18426,0.16215,0.54753,3.46517,1.26301,6.20046e-05,6.20046e-05,6.20046e-05
