epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07811,0.5757,3.90177,1.00195,0.16667,0.33333,0.33167,0.33167,0.79329,3.91834,1.46283,2.04e-06,2.04e-06,2.04e-06
2,1.84928,0.54727,3.83074,0.99727,0.16667,0.33333,0.33167,0.33167,0.79088,3.91995,1.46833,5.99882e-06,5.99882e-06,5.99882e-06
3,2.74312,0.60834,3.87647,1.02946,0.16667,0.33333,0.33167,0.33167,0.79963,3.91872,1.47206,9.79608e-06,9.79608e-06,9.79608e-06
4,3.54135,0.65869,3.93545,1.01828,0.16667,0.33333,0.33167,0.33167,0.78199,3.90981,1.46818,1.34318e-05,1.34318e-05,1.34318e-05
5,4.32303,0.51929,3.79574,0.98446,0.16667,0.33333,0.33167,0.33167,0.78314,3.90308,1.44745,1.69059e-05,1.69059e-05,1.69059e-05
6,5.12223,0.5497,3.83611,0.97624,0.16667,0.33333,0.33167,0.33167,0.78453,3.9064,1.44454,2.02184e-05,2.02184e-05,2.02184e-05
7,5.93415,0.60308,3.83759,1.05068,0.16667,0.33333,0.33167,0.33167,0.79435,3.90544,1.458,2.33694e-05,2.33694e-05,2.33694e-05
8,6.7538,0.6964,3.91901,1.09905,0.16667,0.33333,0.33167,0.33167,0.8073,3.8975,1.46115,2.63588e-05,2.63588e-05,2.63588e-05
9,7.53428,0.59815,3.77123,0.97105,0.16667,0.33333,0.33167,0.33167,0.82737,3.89828,1.50753,2.91867e-05,2.91867e-05,2.91867e-05
10,8.32403,0.57823,3.85228,1.01261,0.16667,0.33333,0.33167,0.33167,0.82537,3.90643,1.52763,3.1853e-05,3.1853e-05,3.1853e-05
11,9.14938,0.62267,3.81967,0.99142,0.16667,0.33333,0.33167,0.33167,0.8001,3.90878,1.55146,3.43577e-05,3.43577e-05,3.43577e-05
12,10.0491,0.53292,3.82611,0.97589,0.16667,0.33333,0.33167,0.33167,0.80964,3.91438,1.56698,3.67008e-05,3.67008e-05,3.67008e-05
13,10.9292,0.556,3.81266,1.00867,0.16667,0.33333,0.33167,0.33167,0.83694,3.91206,1.58449,3.88824e-05,3.88824e-05,3.88824e-05
14,11.7567,0.59646,3.85845,0.98485,0.16667,0.33333,0.33167,0.33167,0.78668,3.89282,1.53106,4.09024e-05,4.09024e-05,4.09024e-05
15,12.5971,0.54336,3.74846,0.96717,0.16667,0.33333,0.33167,0.33167,0.87401,3.91082,1.58476,4.27608e-05,4.27608e-05,4.27608e-05
16,13.3913,0.56127,3.73647,0.9548,0.16667,0.33333,0.33167,0.33167,0.84747,3.90641,1.56732,4.44577e-05,4.44577e-05,4.44577e-05
17,14.2475,0.53662,3.65039,0.97828,0.16667,0.33333,0.33167,0.33167,0.84322,3.88401,1.55143,4.5993e-05,4.5993e-05,4.5993e-05
18,15.0927,0.69682,3.7354,1.03749,0.16667,0.33333,0.33167,0.33167,0.84046,3.86955,1.53937,4.73668e-05,4.73668e-05,4.73668e-05
19,15.9708,0.60529,3.68293,0.99434,0.16667,0.33333,0.33167,0.33167,0.89031,3.8671,1.5688,4.85789e-05,4.85789e-05,4.85789e-05
20,16.8841,0.58538,3.65056,0.99447,0.16667,0.33333,0.33167,0.33167,0.93288,3.86782,1.59399,4.96295e-05,4.96295e-05,4.96295e-05
